latitude	longitude	name	parsed
42.8014795	-70.989778	West Newbury	West Newbury, MA, USA
42.3056501	-71.5245087	Southborough	Southborough, MA, USA
41.878711	-71.38255579999999	Pawtucket	Pawtucket, RI, USA
42.1237206	-72.431586	South Wilbraham	Wilbraham, MA, USA
42.4430372	-71.2289641	[Lexington?]	Lexington, MA, USA
42.3284483	-71.0854325	Boston, Brookline	Boston, MA, USA
42.2459215	-73.20371709999999	Tyringham	Tyringham, MA, USA
42.4850931	-71.43284	[Acton?]	Acton, MA, USA
42.1250929	-72.749538	Westfield	Westfield, MA, USA
42.03345650000001	-71.2190578	Mansfield	Mansfield, MA, USA
42.6791832	-70.8411558	[Ipswich?]	Ipswich, MA, USA
41.9203804	-70.7994831	North Carver	North Carver, Carver, MA 02330, USA
42.1306522	-71.5411747	Hopedale	Hopedale, Hopedale, MA, USA
42.3597148	-71.726659	Boylston, West Boylston	Boylston, MA, USA
42.2020445	-71.014118	Weymouth, Braintree	Braintree, MA, USA
42.5750009	-70.93212199999999	New Mills, Danvers	Danvers, MA, USA
42.2528772	-71.0022705	Quincy	Quincy, MA, USA
41.7056291	-70.2286681	Barnstable, Yarmouth	Yarmouth, MA, USA
42.22869540000001	-71.5225646	Hopkinton	Hopkinton, MA, USA
42.2436085	-71.1676536	South Dedham	Dedham, MA, USA
42.0666417	-70.85064360000001	Pembroke, Hanson	Hanson, Hanson, MA, USA
42.1292671	-70.949489	North Abington	North Abington, Abington, MA 02351, USA
41.9695516	-71.35654389999999	North Attleboro	North Attleborough, MA, USA
42.2287065	-71.5225638	Hopkinton and Milford	Hopkinton, Hopkinton, MA 01748, USA
41.7589615	-70.49393169999999	Barnstable, Sandwich	Sandwich, MA, USA
42.0867608	-71.47458809999999	Bellingham	Bellingham, MA, USA
42.1237053	-72.43147309999999	Monson, Wilbraham	Wilbraham, Wilbraham, MA 01095, USA
42.1236499	-71.1786237	Sharon	Sharon, MA, USA
42.238986	-71.369781	Sherburne	, MA, USA
42.1237206	-72.431586	Wilbraham	Wilbraham, MA, USA
